ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a598,indicator chip very fast movement 2.5a 32v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 2.5a 32vac 32vdc 50a ir surface mount,very fast,rated breaking capacity at 32 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,2.5a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.5j,high,32v,32v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,2.5a,,32v,32v,"['A629', 'A634', 'A636', 'A749', 'A752']"
a599,indicator 0.125a 125v very fast movement 2-pin smd electric indicator very fast blow 1.25a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.125a,epoxy,3.18 x 1.52mm,e0,0.065j,high,125v,125v,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,1.25a,,63v,63v,"['A918', 'A917', 'A919', 'A920', 'A808']"
a600,indicator very fast movement 0.125a surface mount 3.18 x 1.52 x 0.58mm epoxy electric indicator 3.18 x 1.52 x 0.58mm,very fast,,battery packcell phonedigital cameradvd playerhard disk drive,,,,,0.125a,epoxy,3.18 x 1.52 x 0.58mm,,,,125v,125v,,surface mount,,2.0,,,,,,3.18mm,,,,,,"['A587', 'A605', 'A610', 'A549', 'A554']"
a601,indicator chip very fast movement 0.125a 125v smd solder pad 1206 epoxy tr csa electric indicator very fast blow 0.125a 125vac 125vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,1.25a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.065j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,1.25a,,63v,63v,"['A917', 'A919', 'A920', 'A559', 'A918']"
a602,indicator electric indicator very fast blow 1.75a 63vac  50a ir surface mount,,rated breaking capacity at 63 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,0.15j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,1.75a,,63v,63v,"['A586', 'A584', 'A603', 'A679', 'A614']"
a603,indicator chip very fast movement 1.75a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 1.75a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,1.75a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.15j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,1.75a,,63v,63v,"['A614', 'A706', 'A710', 'A759', 'A561']"
a604,indicator electric indicator very fast blow 0.2a 125vac  50a ir surface mount,,rated breaking capacity at 125 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,0.00055j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,0.2a,,125v,125v,"['A777', 'A783', 'A797', 'A799', 'A828']"
a605,indicator very fast movement 0.2a surface mount 3.18 x 1.52 x 0.58mm epoxy electric indicator 3.18 x 1.52 x 0.58mm,very fast,,battery packcell phonedigital cameradvd playerhard disk drive,,,,,0.2a,epoxy,3.18 x 1.52 x 0.58mm,,,,125v,125v,,surface mount,,2.0,,,,,,3.18mm,,,,,,"['A605', 'A610', 'A600', 'A542', 'A562']"
a606,indicator chip very fast movement 0.2a 125v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 0.2a 125vac 125vdc 50a ir surface mount,very fast,rated breaking capacity at 125 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.2a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.00055j,high,125v,125v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.2a,,125v,125v,"['A563', 'A810', 'A828', 'A830', 'A833']"
a607,indicator very fast movement 0.25a 3.18 x 1.52mm epoxy electric indicator 3.18 x 1.52mm,very fast,,battery packcell phonedigital cameradvd playerhard disk drive,,,,,0.25a,epoxy,3.18 x 1.52mm,,,,125v,125v,,,,,,,,,,,,,,,,"['A558', 'A564', 'A549', 'A554', 'A556']"
