ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a225,indicator electric indicator time lag blow inlineholder,,,,time lag,,20mm,5.2mm,,,,e3,202j,low,,,,,inlineholder,,125cel,-55cel,,,,,,,,,,"['A215', 'A218', 'A220', 'A221', 'A223']"
a226,indicator slow blow movement 0.4a 5 x 20mm electric indicator 5 x 20mm,slow blow,,motor circuit,,,,,0.4a,,5 x 20mm,,,,250v,,,,,,,,,,,,,,,,,"['A338', 'A103', 'A336', 'A340', 'A83']"
a227,indicator electric indicator time lag blow inlineholder,,,,time lag,,20mm,5.2mm,,,,e3,1.36j,high,,,,,inlineholder,,125cel,-55cel,,,,,,,,,,"['A215', 'A218', 'A220', 'A221', 'A223']"
a228,indicator slow blow movement 0.5a 5 x 20mm electric indicator 5 x 20mm,slow blow,,motor circuit,,,,,0.5a,,5 x 20mm,,,,250v,,,,,,,,,,,,,,,,,"['A21', 'A217', 'A336', 'A340', 'A240']"
a229,indicator electric indicator time lag blow inlineholder,,,,time lag,,20mm,5.2mm,,,,,2.9j,high,,,,,inlineholder,,125cel,-55cel,,,,,,,,,,"['A215', 'A218', 'A220', 'A221', 'A223']"
a230,indicator slow blow movement 0.63a 5 x 20mm electric indicator 5 x 20mm,slow blow,,motor circuit,,,,,0.63a,,5 x 20mm,,,,250v,,,,,,,,,,,,,,,,,"['A343', 'A336', 'A340', 'A228', 'A96']"
a231,indicator electric indicator time lag blow inlineholder,,,,time lag,,20mm,5.2mm,,,,,4.8j,high,,,,,inlineholder,,125cel,-55cel,,,,,,,,,,"['A215', 'A218', 'A220', 'A221', 'A223']"
a232,indicator electric indicator time lag blow inlineholder,,,,time lag,,20mm,5.2mm,,,,,9.42j,high,,,,,inlineholder,,125cel,-55cel,,,,,,,,,,"['A215', 'A218', 'A220', 'A221', 'A223']"
a233,indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 1500a ir supplemental inlineholder 5x20mm,slow blow,,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,2a,ceramic,5x20mm,e3,11.68j,low,250v,,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,2a,250v,250v,,"['A295', 'A234', 'A270', 'A299', 'A296']"
a234,indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 250vdc 1500a ir inlineholder 5x20mm,slow blow,pre arching time: open within 10 millisec at 1000% rated current,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,2a,ceramic,5x20mm,,11.68j,low,250v,,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,2a,250v,250v,250v,"['A233', 'A295', 'A241', 'A286', 'A270']"
a235,indicator red slow blow movement 10a 250v holder plastic 5 x 20mm ceramic bulk cecsakcpsesemkoulvde electric indicator time lag blow 10a 1500a ir supplemental 5x20mm,slow blow,,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,10a,ceramic,5x20mm,,,low,250v,,4w,holder,,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,10a,250v,,,"['A249', 'A303', 'A134', 'A250', 'A304']"
a236,unknown part,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,"['A129', 'A130', 'A131', 'A144', 'A236']"
a237,indicator red slow blow movement 12a 250v axial 5 x 20mm ceramic bulk cecsapsesemkoul electric indicator time lag blow 12a 250vac 250vdc 1500a ir through hole 5x20mm,slow blow,pre arching time: open within 10 millisec at 1000% rated current,supplementary protectionutilization equipment to provide individual protection,time lag,,22.5mm,5.8mm,12a,ceramic,5x20mm,e3,515.5j,low,250v,,4w,through hole,through hole,2.0,125cel,-55cel,5.8mm  x  22.5mm,,5.8maxmm,22.5maxmm,1500a,12a,250v,250v,250v,"['A455', 'A219', 'A234', 'A241', 'A239']"
a238,indicator slow blow movement 1.6a holder 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,motor circuit,,,,,1.6a,ceramic,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A285', 'A290', 'A240', 'A336', 'A340']"
a239,indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk bsiccccecsakcpsesemkoulvde electric indicator time lag blow 2.5a 250vac 250vdc 1500a ir inlineholder 5x20mm,,pre arching time: open within 10 millisec at 1000% rated current,,time lag,,20mm,5.2mm,,,5x20mm,,22.29j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,2.5a,250v,250v,250v,"['A255', 'A234', 'A241', 'A299', 'A13']"
a240,indicator slow blow movement 2.5a holder 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,motor circuit,,,,,2.5a,ceramic,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A21', 'A228', 'A300', 'A217', 'A336']"
a241,indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 6.3a 250vac 250vdc 1500a ir inlineholder 5x20mm,slow blow,pre arching time: open within 10 millisec at 1000% rated current,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,6.3a,ceramic,5x20mm,,128.75j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,6.3a,250v,250v,250v,"['A258', 'A259', 'A313', 'A234', 'A17']"
a242,indicator red fast movement 1a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 1a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,1a,ceramic,5 x 20mm,e3,0.18j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,1a,,250v,,"['A266', 'A245', 'A256', 'A275', 'A467']"
a243,indicator red fast movement 2a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,2a,ceramic,5 x 20mm,e3,1.87j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,2a,,250v,,"['A271', 'A245', 'A256', 'A275', 'A472']"
a244,indicator red fast movement 4a 250v holder plastic melf 5 x 20mm ceramic bsiccccecsakcpsesemkovdeculus electric indicator fast blow 4a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,4a,ceramic,5 x 20mm,e3,14.995j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,4a,,250v,,"['A274', 'A42', 'A43', 'A41', 'A245']"
a245,indicator red fast movement 5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 5a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,5a,ceramic,5 x 20mm,e3,27.46j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,5a,,250v,,"['A256', 'A275', 'A263', 'A243', 'A271']"
a246,indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic bulk cecsakcpsesemkotuvvdeculus electric indicator fast blow 8a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,8a,ceramic,5x20mm,,64.315j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,8a,250v,250v,,"['A247', 'A278', 'A81', 'A3', 'A292']"
a247,indicator red fast movement 8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 8a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,8a,ceramic,5 x 20mm,e3,64.315j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,8a,,250v,,"['A278', 'A263', 'A459', 'A81', 'A246']"
a248,indicator fast movement 8a holder 5 x 20mm ceramic electric indicator 5 x 20mm,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,8a,ceramic,5 x 20mm,,,,250v,,4typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A18', 'A282', 'A95', 'A391', 'A240']"
a249,indicator red fast movement 10a 250v holder plastic 5 x 20mm ceramic bulk cecsakcpsesemkoulvde electric indicator fast blow 10a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,10a,ceramic,5x20mm,,154.34j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,10a,250v,250v,,"['A235', 'A250', 'A134', 'A303', 'A454']"
a250,indicator red fast movement 10a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 10a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,10a,ceramic,5 x 20mm,e3,154.34j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,10a,,250v,,"['A249', 'A245', 'A256', 'A275', 'A263']"
a251,indicator electric indicator fast blow 1.6a 250vac  1200a ir through hole,,,,fast,,22.5mm,5.8mm,,,,e3,1.005j,high,,,,,through hole,,125cel,-55cel,5.8mm  x  22.5mm,,,,1200a,1.6a,,250v,,"['A264', 'A252', 'A425', 'A417', 'A795']"
a252,indicator red fast movement 1.6a 250v axial 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 1.6a 250vac 1500a ir through hole 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,22.5mm,5.8mm,1.6a,ceramic,5x20mm,e3,1.005j,low,250v,,4typw,through hole,through hole,2.0,125cel,-55cel,5.8mm  x  22.5mm,,5.8maxmm,22.5maxmm,1500a,1.6a,250v,250v,,"['A253', 'A306', 'A307', 'A1', 'A254']"
a253,indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 1.6a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,1.6a,ceramic,5x20mm,e3,1.005j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,1.6a,250v,250v,,"['A252', 'A306', 'A254', 'A1', 'A255']"
a254,indicator red fast movement 1.6a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 1.6a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,1.6a,ceramic,5 x 20mm,e3,1.005j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,1.6a,,250v,,"['A253', 'A478', 'A1', 'A458', 'A31']"
a255,indicator red fast movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,2.5a,ceramic,5x20mm,e3,2.695j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,2.5a,250v,250v,,"['A299', 'A258', 'A259', 'A308', 'A245']"
a256,indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,2.5a,ceramic,5 x 20mm,e3,2.695j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,2.5a,,250v,,"['A256', 'A275', 'A263', 'A243', 'A271']"
a257,indicator red fast movement 0.05a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.05a 250vac 1500a ir supplemental inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.05a,ceramic,5 x 20mm,e3,0.00019j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.05a,250v,250v,,"['A312', 'A117', 'A245', 'A256', 'A275']"
a258,indicator red fast movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,6.3a,ceramic,5 x 20mm,,56.43j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,6.3a,250v,250v,,"['A259', 'A241', 'A313', 'A255', 'A17']"
a259,indicator red fast movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,6.3a,ceramic,5x20mm,,56.43j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,6.3a,250v,250v,,"['A259', 'A241', 'A313', 'A255', 'A17']"
a260,indicator red fast movement 0.063a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,6.3a,ceramic,5 x 20mm,e3,56.43j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,6.3a,,250v,,"['A277', 'A245', 'A256', 'A275', 'A263']"
a261,indicator 250v 5x20 6.3a electric indicator fast blow 6.3a 1500a ir supplemental 5x20mm,,,,fast,,20mm,5.2mm,,ceramic,5x20mm,e3,,low,250v,,,,,,125cel,-55cel,5.2mm  x  20mm,,,,1500a,6.3a,250v,,,"['A258', 'A259', 'A313', 'A241', 'A314']"
a262,unknown part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['A129', 'A130', 'A131', 'A144', 'A236']"
a263,indicator red fast movement 0.08a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.08a,ceramic,5 x 20mm,e3,0.00084j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.8a,,250v,,"['A247', 'A278', 'A245', 'A256', 'A275']"
a264,indicator red fast movement 0.1a 250v axial 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.1a 250vac 1200a ir through hole,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,22.5mm,6mm,0.1a,ceramic,5 x 20mm,e3,0.0045j,med,250v,,1.6typw,through hole,through hole,2.0,125cel,-55cel,6mm  x  22.5mm,,6maxmm,22.5maxmm,1200a,0.1a,,250v,,"['A265', 'A90', 'A89', 'A251', 'A122']"
a265,indicator red fast movement 0.1a 250v axial 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.1a 250vac 1500a ir through hole 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,22.5mm,6mm,0.1a,ceramic,5x20mm,e3,0.0045j,low,250v,,1.6typw,through hole,through hole,2.0,125cel,-55cel,6mm  x  22.5mm,,6maxmm,22.5maxmm,1500a,0.1a,250v,250v,,"['A264', 'A90', 'A89', 'A326', 'A252']"
a266,indicator red fast movement 0.1a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.1a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.1a,ceramic,5 x 20mm,e3,0.0045j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.1a,,250v,,"['A266', 'A245', 'A256', 'A275', 'A467']"
a267,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk cecsapseulvde electric indicator fast blow 12.5a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,12.5a,ceramic,5x20mm,e3,235j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,12.5a,250v,250v,,"['A6', 'A5', 'A57', 'A56', 'A255']"
a268,indicator red fast movement 0.125a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.125a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,1.25a,ceramic,5 x 20mm,e3,0.48j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,1.25a,,250v,,"['A468', 'A245', 'A256', 'A275', 'A317']"
a269,indicator red fast movement 0.16a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.16a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.16a,ceramic,5 x 20mm,e3,0.00576j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.16a,,250v,,"['A59', 'A60', 'A58', 'A922', 'A245']"
a270,indicator red fast movement 0.2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.2a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.2a,ceramic,5 x 20mm,e3,0.00439j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.2a,250v,250v,,"['A243', 'A271', 'A233', 'A234', 'A286']"
a271,indicator red fast movement 0.2a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.2a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.2a,ceramic,5 x 20mm,e3,0.00439j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.2a,,250v,,"['A271', 'A245', 'A256', 'A275', 'A472']"
a272,indicator red fast movement 0.25a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.25a 250vac 1500a ir supplemental inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.25a,ceramic,5 x 20mm,e3,0.00891j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.25a,250v,250v,,"['A474', 'A245', 'A256', 'A275', 'A473']"
a273,indicator red fast movement 0.315a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.315a 250vac 1500a ir supplemental inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,3.15a,ceramic,5 x 20mm,e3,6.7j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,3.15a,250v,250v,,"['A937', 'A939', 'A245', 'A256', 'A275']"
a274,indicator red fast movement 0.4a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.4a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.4a,ceramic,5 x 20mm,e3,0.04j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.4a,,250v,,"['A244', 'A245', 'A256', 'A275', 'A42']"
a275,indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.5a,ceramic,5 x 20mm,e3,0.165j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.5a,,250v,,"['A256', 'A275', 'A263', 'A243', 'A271']"
a276,indicator red fast movement 0.63a 250v holder plastic 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.63a,ceramic,5 x 20mm,e3,0.175j,low,250v,,2.5typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.63a,250v,250v,,"['A277', 'A270', 'A260', 'A343', 'A230']"
a277,indicator red fast movement 0.63a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.63a,ceramic,5 x 20mm,e3,0.175j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.63a,,250v,,"['A260', 'A276', 'A245', 'A256', 'A275']"
a278,indicator red fast movement 0.8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.8a,ceramic,5 x 20mm,e3,0.285j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.8a,,250v,,"['A278', 'A263', 'A459', 'A81', 'A246']"
a279,indicator fast movement 3a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,3a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A281', 'A284', 'A289', 'A113', 'A280']"
a280,indicator fast movement 4a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,4a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A83', 'A103', 'A338', 'A281', 'A284']"
a281,indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,5a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A284', 'A289', 'A300', 'A217', 'A113']"
a282,indicator fast movement 8a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,8a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A248', 'A18', 'A281', 'A284', 'A289']"
a283,indicator fast movement 10a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,10a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A281', 'A284', 'A289', 'A101', 'A113']"
a284,indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,1.5a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A284', 'A289', 'A300', 'A217', 'A113']"
a285,indicator fast movement 1.6a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,1.6a,glass,5 x 20mm,,,,250v,,1.6typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A290', 'A238', 'A281', 'A284', 'A289']"
a286,indicator red fast movement 0.2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.2a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.2a,glass,5 x 20mm,e3,0.02j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.2a,250v,250v,250v,"['A287', 'A234', 'A292', 'A320', 'A295']"
a287,indicator red fast movement 0.25a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.25a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.25a,glass,5x20mm,e3,0.04j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.25a,250v,250v,250v,"['A321', 'A286', 'A292', 'A474', 'A322']"
a288,indicator red fast movement 0.5a 250v holder plastic 5 x 20mm glass bulk bsiccccecsakcsemkoulvde electric indicator fast blow 0.5a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.5a,glass,5x20mm,,0.215j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.5a,250v,250v,250v,"['A255', 'A286', 'A219', 'A287', 'A308']"
a289,indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,0.5a,glass,5 x 20mm,,,,250v,,1.6typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A284', 'A289', 'A300', 'A217', 'A113']"
a290,indicator fast movement 0.6a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,0.6a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A290', 'A238', 'A281', 'A284', 'A289']"
a291,indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,0.8a,glass,5 x 20mm,,,low,250v,,1.6typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A292', 'A331', 'A282', 'A332', 'A286']"
a292,indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.8a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.8a,glass,5x20mm,e3,0.85j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.8a,250v,250v,250v,"['A331', 'A291', 'A286', 'A287', 'A246']"
a293,indicator red slow blow movement 1a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 1a 250vac 35a ir supplemental inlineholder 5x20mm,slow blow,,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,1a,glass,5x20mm,,6.73j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,1a,250v,250v,,"['A294', 'A299', 'A295', 'A316', 'A308']"
